"Sex of employee";"Type of employment contract";"Other characteristics employee";"Industry class / branch (SIC2008)";"Periods";"Employment/Jobs (x 1 000)"
"Total";"Total";"65 to 74 years";"P Education";"2020";"      14"
"Total";"Total";"65 to 74 years";"Q Health and social work activities";"2020";"      27"
"Total";"Total";"65 to 74 years";"R-U Culture, recreation, other services";"2020";"       8"
"Total";"Total";"65 to 74 years";"R Culture, sports and recreation";"2020";"       3"
"Total";"Total";"65 to 74 years";"S Other service activities";"2020";"       4"
"Total";"Total";"75 years or older";"A-U All economic activities";"2020";"      15"
"Total";"Total";"75 years or older";"A-F Agriculture and industry";"2020";"       2"
"Total";"Total";"75 years or older";"A Agriculture, forestry and fishing";"2020";"       1"
"Total";"Total";"75 years or older";"B-F Manifacturing and energy";"2020";"       2"
"Total";"Total";"75 years or older";"B-E Industry (no construction), energy";"2020";"       1"
"Total";"Total";"75 years or older";"B Mining and quarrying ";"2020";"       0"
"Total";"Total";"75 years or older";"C Manufacturing";"2020";"       1"
"Total";"Total";"75 years or older";"D Energy supply";"2020";"       0"
"Total";"Total";"75 years or older";"E Water supply and waste management";"2020";"       0"
"Total";"Total";"75 years or older";"F Construction";"2020";"       1"
"Total";"Total";"75 years or older";"G-N Commercial services";"2020";"      11"
"Total";"Total";"75 years or older";"G-I Trade, transport, hotels, catering";"2020";"       5"
"Total";"Total";"75 years or older";"G Wholesale and retail trade";"2020";"       3"
"Total";"Total";"75 years or older";"H Transportation and storage";"2020";"       1"
"Total";"Total";"75 years or older";"I Accommodation and food serving";"2020";"       0"
"Total";"Total";"75 years or older";"J Information and communication";"2020";"       0"
"Total";"Total";"75 years or older";"K Financial institutions";"2020";"       2"
"Total";"Total";"75 years or older";"L Renting, buying, selling real estate";"2020";"       1"
"Total";"Total";"75 years or older";"M-N Business services";"2020";"       3"
"Total";"Total";"75 years or older";"M Other specialised business services";"2020";"       1"
"Total";"Total";"75 years or older";"N Renting and other business support";"2020";"       1"
"Total";"Total";"75 years or older";"O-U Noncommercial services";"2020";"       2"
"Total";"Total";"75 years or older";"O-Q Government and care";"2020";"       1"
"Total";"Total";"75 years or older";"O Public administration and services";"2020";"       0"
"Total";"Total";"75 years or older";"P Education";"2020";"       0"
"Total";"Total";"75 years or older";"Q Health and social work activities";"2020";"       0"
"Total";"Total";"75 years or older";"R-U Culture, recreation, other services";"2020";"       1"
"Total";"Total";"75 years or older";"R Culture, sports and recreation";"2020";"       0"
"Total";"Total";"75 years or older";"S Other service activities";"2020";"       0"
