"Sex of employee";"Type of employment contract";"Other characteristics employee";"Industry class / branch (SIC2008)";"Periods";"Employment/Jobs (x 1 000)"
"Total";"Total";"30 to 34 years";"K Financial institutions";"2020";"      29"
"Total";"Total";"30 to 34 years";"L Renting, buying, selling real estate";"2020";"       7"
"Total";"Total";"30 to 34 years";"M-N Business services";"2020";"     183"
"Total";"Total";"30 to 34 years";"M Other specialised business services";"2020";"      71"
"Total";"Total";"30 to 34 years";"N Renting and other business support";"2020";"     112"
"Total";"Total";"30 to 34 years";"O-U Noncommercial services";"2020";"     300"
"Total";"Total";"30 to 34 years";"O-Q Government and care";"2020";"     273"
"Total";"Total";"30 to 34 years";"O Public administration and services";"2020";"      50"
"Total";"Total";"30 to 34 years";"P Education";"2020";"      63"
"Total";"Total";"30 to 34 years";"Q Health and social work activities";"2020";"     159"
"Total";"Total";"30 to 34 years";"R-U Culture, recreation, other services";"2020";"      27"
"Total";"Total";"30 to 34 years";"R Culture, sports and recreation";"2020";"      13"
"Total";"Total";"30 to 34 years";"S Other service activities";"2020";"      14"
"Total";"Total";"35 to 39 years";"A-U All economic activities";"2020";"     807"
"Total";"Total";"35 to 39 years";"A-F Agriculture and industry";"2020";"     126"
"Total";"Total";"35 to 39 years";"A Agriculture, forestry and fishing";"2020";"       8"
"Total";"Total";"35 to 39 years";"B-F Manifacturing and energy";"2020";"     118"
"Total";"Total";"35 to 39 years";"B-E Industry (no construction), energy";"2020";"      82"
"Total";"Total";"35 to 39 years";"B Mining and quarrying ";"2020";"       1"
"Total";"Total";"35 to 39 years";"C Manufacturing";"2020";"      74"
"Total";"Total";"35 to 39 years";"D Energy supply";"2020";"       4"
"Total";"Total";"35 to 39 years";"E Water supply and waste management";"2020";"       4"
"Total";"Total";"35 to 39 years";"F Construction";"2020";"      36"
"Total";"Total";"35 to 39 years";"G-N Commercial services";"2020";"     400"
"Total";"Total";"35 to 39 years";"G-I Trade, transport, hotels, catering";"2020";"     170"
"Total";"Total";"35 to 39 years";"G Wholesale and retail trade";"2020";"     110"
"Total";"Total";"35 to 39 years";"H Transportation and storage";"2020";"      36"
"Total";"Total";"35 to 39 years";"I Accommodation and food serving";"2020";"      23"
"Total";"Total";"35 to 39 years";"J Information and communication";"2020";"      40"
"Total";"Total";"35 to 39 years";"K Financial institutions";"2020";"      32"
"Total";"Total";"35 to 39 years";"L Renting, buying, selling real estate";"2020";"       7"
